URL,Product Name,Title,Country,Weight,Price,Flavour Notes
https://www.percolate.sg/shop/p/sey-coffee,SEY Coffee Beans — Percolate Coffee & Goods,Chelbesa,Ethiopia,250g,36,"Watermelon, Peach, Citrus"
https://www.percolate.sg/shop/p/sey-coffee,SEY Coffee Beans — Percolate Coffee & Goods,Maritza Dota Mejorado,Ecuador,250g,45,"Orange Blossom, Ripe Peach,"
https://www.percolate.sg/shop/p/sey-coffee,SEY Coffee Beans — Percolate Coffee & Goods,Oscar Hernan Garcia Gesha,Colombia,250g,39,"Lychee, Pomegranate, Jasmine"
https://www.percolate.sg/shop/p/sey-coffee,SEY Coffee Beans — Percolate Coffee & Goods,Octavio Rueda Pink Bourbon,Colombia,250g,37,"Pink Lemonade, Pomegranate,"
https://www.percolate.sg/shop/p/sey-coffee,SEY Coffee Beans — Percolate Coffee & Goods,Fabian Munoz Pink Bourbon,Colombia,250g,37,"Strawberry, Pink Grapefruit,"
https://www.percolate.sg/shop/p/the-barn-coffee,The Barn Coffee Beans — Percolate Coffee & Goods,El Vergel Espresso,Colombia,250g,29,"Berry, Caramel, Smooth"
https://www.percolate.sg/shop/p/the-barn-coffee,The Barn Coffee Beans — Percolate Coffee & Goods,Sundrop Espresso,Brazil,250g,30,"Caramel, Prune, Jasmine"
https://www.percolate.sg/shop/p/the-barn-coffee,The Barn Coffee Beans — Percolate Coffee & Goods,Caballero Confite,Honduras,250g,33,"Pineapple, Grape, Rich"
https://www.percolate.sg/shop/p/the-barn-coffee,The Barn Coffee Beans — Percolate Coffee & Goods,Pa-O,Myanmar,250g,35,"Fudge, Red Fruit, Silky"
https://www.percolate.sg/shop/p/the-barn-coffee,The Barn Coffee Beans — Percolate Coffee & Goods,Los Pirineos Anaerobic Pacamara,El Salvador,250g,34,"Mango, Honey, Floral"
https://www.percolate.sg/shop/p/the-barn-coffee,The Barn Coffee Beans — Percolate Coffee & Goods,Bombe Natural,Ethiopia,250g,34,"Strawberry, Panela, Velvety"
https://www.percolate.sg/shop/p/the-barn-coffee,The Barn Coffee Beans — Percolate Coffee & Goods,Nano Challa,Ethiopia,250g,32,"Nectarine, Vanilla, Floral"
https://www.percolate.sg/shop/p/the-barn-coffee,The Barn Coffee Beans — Percolate Coffee & Goods,Finca Gascon Yeast Fermentation,Guatemala,250g,39,"Cherry Candy, Rooibos,"
https://www.percolate.sg/shop/p/the-barn-coffee,The Barn Coffee Beans — Percolate Coffee & Goods,Barco De Vela,Colombia,250g,33,"Apricot, Cacao Nibs, Crisp"
