Product ID,Product Title,Variant ID,Variant Weight,Variant Detail,Price,SKU,Country,Varietal,Processing,Flavour Notes
8733937172700,Throwback,45584412475612,250g,Whole Beans,21.00,BLND-11-00314,,,,"Dark Chocolate, Caramel, Hazelnut"
8733937172700,Throwback,45584412508380,1kg,Whole Beans,72.00,BLND-11-00313,,,,"Dark Chocolate, Caramel, Hazelnut"
8733956145372,Nuts & Bolts,45584529227996,250g,Whole Beans,21.00,BLND-11-00310,,,,"Citrus, Almond"
8733956145372,Nuts & Bolts,45584529359068,1kg,Whole Beans,72.00,BLND-11-00309,,,,"Citrus, Almond"
8733972168924,Terra Firma,45584621895900,250g,Whole Beans,21.00,BLND-11-00311,,,,
8734803984604,40 Winks Decaf,45587301957852,250g,Whole Beans,23.00,PPPC-11-3501,"Mexico Grapos, Chiapas","Typica, Marsellesa, Bourbon",Fully-Washed,
8734833148124,India Nurita Estate,45587372376284,250g,Whole Beans,23.00,INDI-11-03600,,,,
8734850613468,Ethiopia Suke Quto,45587402653916,250g,Whole Beans,23.00,ETIO-11-00375,Ethiopia/Guji,Welicho & Kurume,Fully-Washed,Peach
8737225244892,Colombia El Indio,45593302991068,250g,Whole Beans,23.00,CLMB-11-03678,,,,
8882245599452,Colombia Villa Mercedes,46212988895452,250g,Whole Beans,28.00,CLMB-11-03899,Colombia/Huila,"Castillo, Cenicafé",Washed,"Red Apple, Plum, Chamomile"
8882252382428,Ethiopia Bedesa Rusa,46213071110364,250g,Whole Beans,26.00,ETIO-11-03919,Ethiopia/,"JARC Varieties, Local Landraces",Natural,"Melon, Guava, Lime Zest"
8882252382428,Ethiopia Bedesa Rusa,46213071143132,125g,Whole Beans,16.00,ETIO-11-03918,Ethiopia/,"JARC Varieties, Local Landraces",Natural,"Melon, Guava, Lime Zest"
8889936445660,Costa Rica Aquiares Estate,46229002092764,250g,Whole Beans,28.00,COST-11-03925,Costa Rica/Turrialba,Caturra,Natural,"Ripe Pineapple, Dried Mango, Honeydew"
8889936445660,Costa Rica Aquiares Estate,46229002125532,125g,Whole Beans,17.00,COST-11-03924,Costa Rica/Turrialba,Caturra,Natural,"Ripe Pineapple, Dried Mango, Honeydew"
