Title,Product URL,Product Type,Price (SGD)
Tiong Hoe Specialty Coffee - Smoky Quartz (Seasonal Espresso Blend) - 250g / Whole Beans,https://tionghoe.com/products/9411783491743,Roasted Beans,S$19.20
Tiong Hoe Specialty Coffee - Smoky Quartz (Seasonal Espresso Blend) - 1000g / Whole Beans,https://tionghoe.com/products/9411783491743,Roasted Beans,S$72.90
Tiong Hoe Specialty Coffee - Jet Candy (Seasonal Espresso Blend) - 250g / Whole Beans,https://tionghoe.com/products/9411768156319,Roasted Beans,S$19.20
Tiong Hoe Specialty Coffee - Jet Candy (Seasonal Espresso Blend) - 1000g / Whole Beans,https://tionghoe.com/products/9411768156319,Roasted Beans,S$72.90
Tiong Hoe Specialty Coffee - Gachala (House Espresso Blend) - 250g / Whole Beans,https://tionghoe.com/products/9405924737183,Roasted Beans,S$17.30
Tiong Hoe Specialty Coffee - Gachala (House Espresso Blend) - 1000g / Whole Beans,https://tionghoe.com/products/9405924737183,Roasted Beans,S$65.70
Tiong Hoe Specialty Coffee - Brazil Mogiana - 250g / Whole Beans,https://tionghoe.com/products/9399375921311,Roasted Beans,S$18.50
Tiong Hoe Specialty Coffee - Ethiopia Alo Coffee Natural G1 - 200g / Whole Beans,https://tionghoe.com/products/9403330166943,Roasted Beans,S$29.50
Tiong Hoe Specialty Coffee - Indonesia Sumatra Mandheling - 250g / Whole Beans,https://tionghoe.com/products/9403403796639,Roasted Beans,S$18.50
Tiong Hoe Specialty Coffee - Purple Onyx (Seasonal Espresso Blend) - 250g / Whole Beans,https://tionghoe.com/products/9557282160799,Roasted Beans,S$19.20
Tiong Hoe Specialty Coffee - Purple Onyx (Seasonal Espresso Blend) - 1000g / Whole Beans,https://tionghoe.com/products/9557282160799,Roasted Beans,S$72.90
Tiong Hoe Specialty Coffee - Colombia Popayan Decaf - 250g / Whole Beans,https://tionghoe.com/products/9403330068639,Roasted Beans,S$21.80
Tiong Hoe Specialty Coffee - India Monsooned Malabar - 250g / Whole Beans,https://tionghoe.com/products/9403386429599,Roasted Beans,S$18.90
Tiong Hoe Specialty Coffee - Ethiopia Raro Nansebo - 200g / Whole Beans,https://tionghoe.com/products/10478215757983,Roasted Beans,S$25.50
Tiong Hoe Specialty Coffee - Ethiopia Alo Coffee Tamiru Experimental - 200g / Whole Beans,https://tionghoe.com/products/10478214643871,Roasted Beans,S$46.00
Tiong Hoe Specialty Coffee - Kenya Kianjuki Factory AA - 200g / Whole Beans,https://tionghoe.com/products/9561320259743,Roasted Beans,S$26.10
Tiong Hoe Specialty Coffee - Burundi Heza Mikuba - 200g / Whole Beans,https://tionghoe.com/products/10478212251807,Roasted Beans,S$27.00
Tiong Hoe Specialty Coffee - Ethiopia Bookkisa Shaakkisoo - 200g / Whole Beans,https://tionghoe.com/products/10478215397535,Roasted Beans,S$26.50
Tiong Hoe Specialty Coffee - Guatemala San Andres Gesha - 200g / Whole Beans,https://tionghoe.com/products/10516749549727,Roasted Beans,S$26.50
Tiong Hoe Specialty Coffee - Marigold Moonstone (Seasonal Espresso Blend) - 250g / Whole Beans,https://tionghoe.com/products/10598537527455,Roasted Beans,S$22.50
Tiong Hoe Specialty Coffee - Marigold Moonstone (Seasonal Espresso Blend) - 1000g / Whole Beans,https://tionghoe.com/products/10598537527455,Roasted Beans,S$85.50
Tiong Hoe Specialty Coffee - Colombia Heriberto Moreno - 200g / Whole Beans,https://tionghoe.com/products/9536044040351,Roasted Beans,S$22.80
Tiong Hoe Specialty Coffee - Costa Rica Aquiares Estate - 200g / Whole Beans,https://tionghoe.com/products/9536042664095,Roasted Beans,S$19.80
